Timestamp,Were you able to access HMS on day of allocation?,Did you select the single room out of your own volition?,"What's the reason you do not like the 4th/5th cluster?
(you can choose multiple answers!) (if you chose the cluster willingly, add the reason in others)",What would you want from admin side?,If there is anything else let us know!
2023/07/12 1:43:55 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:44:12 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:44:17 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees,
2023/07/12 1:44:43 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees,-
2023/07/12 1:45:04 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:45:07 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:45:51 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees,
2023/07/12 1:46:36 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;no hot water in the showers ,Reduction in single room fees,
2023/07/12 1:47:26 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:47:39 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:47:54 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees,:3
2023/07/12 1:47:56 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:48:00 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:48:15 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:48:19 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees,
2023/07/12 1:48:57 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:50:03 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:50:14 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:50:26 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees,
2023/07/12 1:51:11 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:52:33 PM GMT+5:30,No,Yes! I chose it because i preferred it.,The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees,
2023/07/12 1:53:52 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:54:08 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees,Reduction in single room fees,
2023/07/12 1:54:44 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees,Reduction in single room fees,
2023/07/12 1:54:54 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:55:29 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation;Respond to parents' mail.,"Even though 4th year girls were given priority but altogether the options were so low. Most of the 4th year students have to do thesis and in this situation, we really need to have a proper setting for mental support which is impossible while staying alone. There could have been other methods of room selection which can also include in person registration for hostels. "
2023/07/12 1:56:09 PM GMT+5:30,Yes,Yes! I chose it because i preferred it.,The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees,
2023/07/12 1:56:46 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:57:08 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees,Reduction in single room fees,
2023/07/12 1:57:52 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees,Reduction in single room fees,
2023/07/12 1:57:58 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:58:10 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 1:58:27 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,Please come to a decision before paying fees.
2023/07/12 1:59:12 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;No proper hot water system,Reduction in single room fees,
2023/07/12 1:59:33 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:00:27 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:01:02 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;I dislike being alone,Reduction in single room fees,
2023/07/12 2:01:49 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees,
2023/07/12 2:02:03 PM GMT+5:30,Yes,Yes! I chose it because I preferred it.,The distance from the academic blocks/isolated location;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,Is there any limited time for which we can use AC?
2023/07/12 2:02:58 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:03:29 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:03:38 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,We Should be given the right to choose our rooms as well as room mates we are paying soo much fees and then 40k more without our choice
2023/07/12 2:04:13 PM GMT+5:30,No,"No, I didn’t have any other choice.","Unreasonably high fees;I did not want any kind of ac room, was going to opt for normal twin sharing.  The fees hike is unimaginable ",Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation;I am willing to not use the air conditioning facilities if it reduces the hostel fees right now it is too high,The reason I was not able to access HMS was completely admin's fault.Although I had no outstanding fees on SPC still I was being shown that I have to pay the fees first and then move forward for room selection I had to mail them multiple times to get this issue resolved and by the time they corrected it there was no option left but to take 4th cluster.
2023/07/12 2:04:42 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees,"It’s so simple, they’re forcing us ( 2nd years) to take single rooms cause they just don’t have the space, they should have left towers occupational or maybe not increase student strength up to a point where the ones that can’t get a twin sharing room have to pay extra? They said they wouldn’t force anyone for single rooms, but out of technicality, they definitely are, not being able to choose a room partner increased the traffic on the website by almost two fold, and that, I don’t believe Is a sensible thing to do because it obviously ended up crashing for most of the students and hence were forced to pay more fee. "
2023/07/12 2:05:04 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:05:47 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees,I hope the fees is reduced by admin
2023/07/12 2:06:24 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:07:15 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:07:44 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:08:15 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees,
2023/07/12 2:08:39 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:09:33 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees,
2023/07/12 2:09:46 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees,"I don't mind being in a single room. Infact I prefer it. But I don't mind sharing either. However due to the EXTREMELY UNFAIR fees rise, I decided to take a twin sharing room in Dibang. My friend and I decided to room together. Roommates option MUST'VE been there. Student shouldn't be forced to share their personal space with someone else simply because it's convenient for admin.
If the fees for single room would've been like 5 to 10k more, it would've been ok ig. But 50k?!! Seriously?!
I am not the only person who feels this way. There are more than 300 other students. Our parents are also completely against this. They stand with us. They are NOT going to pay 50k. "
2023/07/12 2:10:54 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,Please help and take a stand on this situation as u can’t just ignore it or the students have to take a serious action!!
2023/07/12 2:11:26 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees,
2023/07/12 2:12:47 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:14:08 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees,
2023/07/12 2:16:04 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:16:50 PM GMT+5:30,Yes,Yes! I chose it because I preferred it.,Na,Reduction in single room fees,
2023/07/12 2:19:13 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:19:16 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:19:26 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:22:39 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,This is completely treacherous behavior from the admin. I applaud them because I don't think they realize how difficult it is to make an entire batch loose trust in them and they have done it with such ease and comfort. 
2023/07/12 2:23:03 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees,Ability to switch to twin sharing on basis of not given a choice on allocation,I did not select any room as I didn't wany single AC room  in cluster 4.
2023/07/12 2:24:41 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:25:10 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:25:47 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:26:03 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:26:56 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,"It's not exactly ""first come first serve"" when the hms portal doesn't open for the first half hour of room selection and the site crashes"
2023/07/12 2:27:01 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees,
2023/07/12 2:31:06 PM GMT+5:30,Yes,"No, I didn’t have any other choice.","The distance from the academic blocks/isolated location;Unreasonably high fees;Washroom to person ratio would result in poor hygiene conditions, and the open floor plan leaves us with no protection from the elements. We will be exposed to the cold/ heat the second we step out of our rooms. There is one geyser and no hot water in the shower, on each floor with so many residents. This is not feasible.",Ability to switch to twin sharing on basis of not given a choice on allocation;Either reopen the towers or address the relevant issues raised.,
2023/07/12 2:32:11 PM GMT+5:30,Yes,Yes! I chose it because I preferred it.,The distance from the academic blocks/isolated location;Unreasonably high fees,Reduction in single room fees,
2023/07/12 2:32:30 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees,
2023/07/12 2:33:02 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:34:53 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:35:46 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees,
2023/07/12 2:36:14 PM GMT+5:30,Yes,Yes! I chose it because I preferred it.,Non functioning AC/Low AC usage time.,Increase the AC duration. March is the time when the heat starts to rise. Even then if the ac is not on then what is the point of single ac room,
2023/07/12 2:37:49 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:38:12 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:38:13 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,"I want a twin sharing room because it is my final year, I can't stay alone in an isolated hostel and I won't be able to pay extra 50k for a single room."
2023/07/12 2:38:55 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:39:06 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees,Reduction in single room fees,
2023/07/12 2:39:32 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;I dislike being alone,Reduction in single room fees,
2023/07/12 2:41:22 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:41:54 PM GMT+5:30,Yes,Yes! I chose it because I preferred it.,Unreasonably high fees,Reduction in single room fees,"I am okay in having a single room, would be great if there's just a reduction in the fees. "
2023/07/12 2:41:55 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Non functioning AC/Low AC usage time.,Reduction in single room fees,
2023/07/12 2:41:59 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation;Maybe reopening of towers or if not possible accomodate into any room which is unclaimed.,We can't pay such a huge fee difference & we are left with no option but choose 4th cluster and I don't like being alone.
2023/07/12 2:42:03 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,My parents can't strictly not pay so much fees. It's the concern of both my mental health and my parents mental health.
2023/07/12 2:46:39 PM GMT+5:30,Yes,Yes! I chose it because I preferred it.,Want to enjoy hostel life with roommate(s) of choice,Ability to choose our roommates,
2023/07/12 2:48:44 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:49:21 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:50:44 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees,Reduction in single room fees,
2023/07/12 2:50:57 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees,
2023/07/12 2:52:22 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,Allowing students to pick roommates in the twin sharing option would also save us from a lot of trouble and a lot more people wouldn't opt for single rooms either 
2023/07/12 2:52:34 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;The mai regarding hostel accomodation mentioned that room selection is free of choice yet it was forced,Reduction in single room fees;Accomodation in twin sharing rooms ,
2023/07/12 2:52:44 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:54:51 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;I dislike being alone;I do have a slight sinus problem in the morning and would like to avoid AC but since it is for a limited time period its fine,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 2:56:56 PM GMT+5:30,Yes,Yes! I chose it because I preferred it.,Unreasonably high fees;Nothing as such,Reduction in single room fees,
2023/07/12 2:58:14 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees,
2023/07/12 2:59:37 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,"Apart from the total disrespect that they are showing us, it is becoming more of a capitalist institute instead of a philanthropic one which is what it started as. It is a sad state of affairs that they are treating the students who have been in this university for the past three years like children who have no voice of their own and are incapable of making their own decisions."
2023/07/12 3:06:33 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,
